date,x,y,percentChange,change
2013-04-29T00:00:00,1367193600000,48.7,,
2013-04-30T00:00:00,1367280000000,48.24,-0.945,-0.46
2013-05-01T00:00:00,1367366400000,48.24,0.0,0.0
2013-05-02T00:00:00,1367452800000,47.86,-0.788,-0.38
2013-05-03T00:00:00,1367539200000,48.34,1.003,0.48
2013-05-06T00:00:00,1367798400000,48.34,0.0,0.0
2013-05-07T00:00:00,1367884800000,48.58,0.496,0.24
2013-05-08T00:00:00,1367971200000,48.2,-0.782,-0.38
2013-05-09T00:00:00,1368057600000,48.06,-0.29,-0.14
2013-05-10T00:00:00,1368144000000,47.57,-1.02,-0.49
2013-05-13T00:00:00,1368403200000,47.57,0.0,0.0
2013-05-14T00:00:00,1368489600000,48.18,1.282,0.61
2013-05-15T00:00:00,1368576000000,48.34,0.332,0.16
2013-05-16T00:00:00,1368662400000,48.56,0.455,0.22
2013-05-17T00:00:00,1368748800000,48.5,-0.124,-0.06
2013-05-20T00:00:00,1369008000000,49.16,1.361,0.66
2013-05-21T00:00:00,1369094400000,49.46,0.61,0.3
2013-05-22T00:00:00,1369180800000,49.53,0.142,0.07
2013-05-23T00:00:00,1369267200000,49.42,-0.222,-0.11
2013-05-24T00:00:00,1369353600000,48.87,-1.113,-0.55
2013-05-27T00:00:00,1369612800000,48.87,0.0,0.0
2013-05-28T00:00:00,1369699200000,48.79,-0.164,-0.08
2013-05-29T00:00:00,1369785600000,48.73,-0.123,-0.06
2013-05-30T00:00:00,1369872000000,48.68,-0.103,-0.05
2013-05-31T00:00:00,1369958400000,48.69,0.021,0.01
2013-06-03T00:00:00,1370217600000,47.73,-1.972,-0.96
2013-06-04T00:00:00,1370304000000,47.4,-0.691,-0.33
2013-06-05T00:00:00,1370390400000,47.3,-0.211,-0.1
2013-06-06T00:00:00,1370476800000,46.98,-0.677,-0.32
2013-06-07T00:00:00,1370563200000,47.09,0.234,0.11
2013-06-10T00:00:00,1370822400000,46.83,-0.552,-0.26
2013-06-11T00:00:00,1370908800000,46.8,-0.064,-0.03
2013-06-12T00:00:00,1370995200000,46.98,0.385,0.18
2013-06-13T00:00:00,1371081600000,47.07,0.192,0.09
2013-06-14T00:00:00,1371168000000,47.85,1.657,0.78
2013-06-17T00:00:00,1371427200000,47.47,-0.794,-0.38
2013-06-18T00:00:00,1371513600000,47.03,-0.927,-0.44
2013-06-19T00:00:00,1371600000000,47.3,0.574,0.27
2013-06-20T00:00:00,1371686400000,47.14,-0.338,-0.16
2013-06-21T00:00:00,1371772800000,46.82,-0.679,-0.32
2013-06-24T00:00:00,1372032000000,46.76,-0.128,-0.06
2013-06-25T00:00:00,1372118400000,47.15,0.834,0.39
2013-06-26T00:00:00,1372204800000,46.87,-0.594,-0.28
2013-06-27T00:00:00,1372291200000,46.99,0.256,0.12
2013-06-28T00:00:00,1372377600000,46.53,-0.979,-0.46
2013-07-01T00:00:00,1372636800000,46.3,-0.494,-0.23
2013-07-02T00:00:00,1372723200000,46.28,-0.043,-0.02
2013-07-03T00:00:00,1372809600000,46.16,-0.259,-0.12
2013-07-04T00:00:00,1372896000000,46.0,-0.347,-0.16
2013-07-05T00:00:00,1372982400000,46.24,0.522,0.24
2013-07-08T00:00:00,1373241600000,46.44,0.433,0.2
2013-07-09T00:00:00,1373328000000,46.69,0.538,0.25
2013-07-10T00:00:00,1373414400000,46.74,0.107,0.05
2013-07-11T00:00:00,1373500800000,46.88,0.3,0.14
2013-07-12T00:00:00,1373587200000,46.58,-0.64,-0.3
2013-07-15T00:00:00,1373846400000,46.45,-0.279,-0.13
2013-07-16T00:00:00,1373932800000,46.67,0.474,0.22
2013-07-17T00:00:00,1374019200000,46.82,0.321,0.15
2013-07-18T00:00:00,1374105600000,47.01,0.406,0.19
2013-07-19T00:00:00,1374192000000,46.97,-0.085,-0.04
2013-07-22T00:00:00,1374451200000,47.05,0.17,0.08
2013-07-23T00:00:00,1374537600000,47.51,0.978,0.46
2013-07-24T00:00:00,1374624000000,47.95,0.926,0.44
2013-07-25T00:00:00,1374710400000,48.24,0.605,0.29
2013-07-26T00:00:00,1374796800000,47.39,-1.762,-0.85
2013-07-29T00:00:00,1375056000000,47.48,0.19,0.09
2013-07-30T00:00:00,1375142400000,47.33,-0.316,-0.15
2013-07-31T00:00:00,1375228800000,47.59,0.549,0.26
2013-08-01T00:00:00,1375315200000,47.1,-1.03,-0.49
2013-08-02T00:00:00,1375401600000,46.82,-0.594,-0.28
2013-08-05T00:00:00,1375660800000,46.66,-0.342,-0.16
2013-08-06T00:00:00,1375747200000,46.71,0.107,0.05
2013-08-07T00:00:00,1375833600000,46.84,0.278,0.13
2013-08-08T00:00:00,1375920000000,46.63,-0.448,-0.21
2013-08-09T00:00:00,1376006400000,46.69,0.129,0.06
2013-08-12T00:00:00,1376265600000,46.26,-0.921,-0.43
2013-08-13T00:00:00,1376352000000,46.26,0.0,0.0
2013-08-14T00:00:00,1376438400000,46.63,0.8,0.37
2013-08-15T00:00:00,1376524800000,46.63,0.0,0.0
2013-08-16T00:00:00,1376611200000,46.61,-0.043,-0.02
2013-08-19T00:00:00,1376870400000,46.36,-0.536,-0.25
2013-08-20T00:00:00,1376956800000,46.32,-0.086,-0.04
2013-08-21T00:00:00,1377043200000,46.31,-0.022,-0.01
2013-08-22T00:00:00,1377129600000,46.84,1.144,0.53
2013-08-23T00:00:00,1377216000000,48.64,3.843,1.8
2013-08-26T00:00:00,1377475200000,48.64,0.0,0.0
2013-08-27T00:00:00,1377561600000,48.73,0.185,0.09
2013-08-28T00:00:00,1377648000000,48.75,0.041,0.02
2013-08-29T00:00:00,1377734400000,48.58,-0.349,-0.17
2013-08-30T00:00:00,1377820800000,48.45,-0.268,-0.13
2013-09-02T00:00:00,1378080000000,48.77,0.66,0.32
2013-09-03T00:00:00,1378166400000,48.91,0.287,0.14
2013-09-04T00:00:00,1378252800000,48.77,-0.286,-0.14
2013-09-05T00:00:00,1378339200000,48.93,0.328,0.16
2013-09-06T00:00:00,1378425600000,49.38,0.92,0.45
2013-09-09T00:00:00,1378684800000,49.52,0.284,0.14
2013-09-10T00:00:00,1378771200000,49.31,-0.424,-0.21
2013-09-11T00:00:00,1378857600000,49.35,0.081,0.04
2013-09-12T00:00:00,1378944000000,49.74,0.79,0.39
2013-09-13T00:00:00,1379030400000,49.28,-0.925,-0.46
2013-09-16T00:00:00,1379289600000,49.41,0.264,0.13
